nr,skole,sted,kontaktperson,rolle,epost,telefon,nettside,facebook,instagram,tiktok,siste_publisering,antall_folgere,aktivitetsscore,hovedsvakhet,foreslatt_grep,gratisleveranse,status,sist_kontakt,neste_steg,neste_steg_dato,notat
1,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
2,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
3,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
4,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
5,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
6,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
7,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
8,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
9,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
10,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
11,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
12,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
13,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
14,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
15,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
16,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
17,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
18,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
19,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
20,,,,,,,,,,,,,,,,,ikke_kontaktet,,,,
